Company,Rank,Year,Revenue (in millions),Profit (in millions)
American Express Company,90,2013,33808,4482
News Corporation,91,2013,33706,1179
The Allstate Corporation,92,2013,33315,2306
"Tyson Foods, Inc.",93,2013,33278,583
Massachusetts Mutual Life Insurance Company,94,2013,32872.2,1114.6
Tesoro Corporation,95,2013,32484,743
Morgan Stanley,96,2013,32355,68
Teachers Insurance and Annuity Association College Retiremen,97,2013,32156,2060
General Dynamics Corporation,98,2013,31513,-332
Philip Morris International Inc.,99,2013,31377,8800
Nationwide Mutual Insurance Co.,100,2013,30356.3,748.5
3M Company,101,2013,299.04,4444
DIRECTV,102,2013,297.4,2949
CIGNA Corporation,103,2013,291.19,1623
Murphy Oil Corporation,104,2013,2877.64,970.9
Time Warner Inc.,105,2013,287.29,3019
Halliburton Company,106,2013,285.03,2635
International Paper Company,107,2013,278.33,794
"Publix Super Markets, Inc.",108,2013,2770.68,1552.3
"Macy's, Inc.",109,2013,276.86,1335
Fluor Corporation,110,2013,2757.71,456.3
McDonald's Corporation,111,2013,275.67,5464.8
"The Hartford Financial Services Group, Inc.",112,2013,264.12,-38
Rite Aid Corporation,113,2013,2612.12,-368.6
"Northwestern Mutual Life Insurance Company,Inc.",114,2013,259.57,783
"The TJX Companies, Inc.",115,2013,2587.84,1906.7
"The Travelers Companies, Inc.",116,2013,257.4,2473
"Avnet, Inc.",117,2013,2570.75,567
Aflac Incorporated,118,2013,253.64,2866
Tech Data Corporation,119,2013,253.61,214.6
Northrop Grumman Corporation,120,2013,252.18,1978
AMR Corporation,121,2013,248.55,-1876
"Staples, Inc.",122,2013,2467.19,-210.7
Emerson Electric Co.,123,2013,245.07,1968
Raytheon Company,124,2013,244.14,1888
Occidental Petroleum Corporation,125,2013,242.53,4598
"Nike, Inc.",126,2013,241.28,2223
Capital One Financial Corporation,127,2013,237.71,3517
Alcoa Inc.,128,2013,237,191
Exelon Corporation,129,2013,234.89,1160
Eli Lilly and Company,130,2013,2260.34,4088.6
Xerox Corporation,131,2013,223.9,1195
U.S. Bancorp,132,2013,222.02,5647
EMC Corporation,133,2013,2171.39,2732.6
Time Warner Cable Inc.,134,2013,213.86,2155
Baker Hughes Incorporated,135,2013,213.61,1311
Kimberly-Clark Corporation,136,2013,210.63,1750
The Goodyear Tire & Rubber Company,137,2013,209.92,212
Union Pacific Corporation,138,2013,209.26,3943
United Services Automobile Association,139,2013,2072.86,2832.3
ManpowerGroup Inc.,140,2013,206.78,197.6
"Arrow Electronics, Inc",141,2013,2040.51,506.3
PBF Energy Inc.,142,2013,2013.87,2
HollyFrontier Corporation,143,2013,2009.07,1727.2
"National Oilwell Varco, Inc.",144,2013,200.41,2491
Duke Energy Corporation,145,2013,196.24,1768
Nucor Corporation,146,2013,1942.93,504.6
United States Steel Corporation,147,2013,193.28,-124
Kohl's Corporation,148,2013,192.79,986
Qualcomm Incorporated,149,2013,191.21,6109
"CenturyLink, Inc.",150,2013,183.76,777
"Kraft Foods Group, Inc.",151,2013,183.39,1642
Danaher Corporation,152,2013,1827.03,2392.2
The AES Corporation,153,2013,182.07,-912
Whirlpool Corporation,154,2013,181.43,401
Illinois Tool Works Inc.,155,2013,180.66,2870
Freeport-McMoRan Copper & Gold Inc.,156,2013,180.1,3041
Global Partners LP,157,2013,176.26,45.5
Bristol-Myers Squibb Company,158,2013,176.21,1960
"Altria Group, Inc.",159,2013,175,4180
Cummins Inc.,160,2013,173.34,1645
"Energy Transfer Equity, L.P.",161,2013,172.88,302
Amgen Inc.,162,2013,172.65,4345
"Jabil Circuit, Inc.",163,2013,1715.19,394.7
Southwest Airlines Co.,164,2013,170.88,421
Colgate-Palmolive Company,165,2013,170.85,2472
The Progressive Corporation,166,2013,1708.39,902.3
Apache Corporation,167,2013,170.78,2001
PACCAR Inc,168,2013,1705.05,1111.6
"General Mills, Inc.",169,2013,1665.79,1567.3
"The PNC Financial Services Group, Inc.",170,2013,166.06,3013
The Southern Company,171,2013,165.37,2350
"Medtronic, Inc.",172,2013,165.07,3617
TRW Automotive Holdings Corp.,173,2013,164.44,1008
Marathon Oil Corporation,174,2013,162.21,1582
Dollar General Corporation,175,2013,1602.21,952.7
Computer Sciences Corporation,176,2013,158.77,-4242
"AutoNation, Inc.",177,2013,1566.88,316.4
Icahn Enterprises L.P.,178,2013,156.54,379
"The Gap, Inc.",179,2013,156.51,1135
The Bank of New York Mellon Corporation,180,2013,154.93,2445
FirstEnergy Corp.,181,2013,153.03,770
"PPG Industries, Inc.",182,2013,152,941
PG&E Corporation,183,2013,150.4,816
"Community Health Systems, Inc.",184,2013,1498.82,265.6
"American Electric Power Company, Inc.",185,2013,149.45,1259
CBS Corporation,186,2013,146.77,1574
Lear Corporation,187,2013,145.67,1282.8
Loews Corporation,188,2013,145.52,568
DISH Network Corporation,189,2013,1426.65,636.7
"NextEra Energy, Inc.",190,2013,142.56,1911
Omnicom Group Inc.,191,2013,1421.94,998.3
Kellogg Company,192,2013,141.97,961
Baxter International Inc.,193,2013,141.9,2326
"Land O'Lakes, Inc.",194,2013,1411.62,240.4
"Coventry Health Care, Inc.",195,2013,1411.34,487.1
eBay Inc.,196,2013,140.72,2609
"L-3 Communications Holdings, Inc.",197,2013,140.57,810
Viacom Inc.,198,2013,138.87,1981
"US Airways Group, Inc.",199,2013,138.31,637
"Waste Management, Inc.",200,2013,136.49,817
"Yum! Brands, Inc.",201,2013,136.33,1597
The Chubb Corporation,202,2013,135.95,1545
"Penske Automotive Group, Inc.",203,2013,1359.32,185.5
"Toys ""R"" Us, Inc.",204,2013,135.43,38
Aramark Corporation,205,2013,1350.54,138.2
Monsanto Company,206,2013,135.04,2045
Anadarko Petroleum Corporation,207,2013,134.11,2391
Starbucks Corporation,208,2013,1329.95,1383.8
"ConAgra Foods, Inc.",209,2013,1326.31,467.9
"Dominion Resources, Inc.",210,2013,131.5,302
Parker-Hannifin Corporation,211,2013,1314.59,1151.8
Edison International,212,2013,131.04,-183
"Smithfield Foods, Inc.",213,2013,1309.43,361.3
Genuine Parts Company,214,2013,1301.39,648
"J.C. Penney Company, Inc.",215,2013,129.85,-985
Navistar International Corporation,216,2013,129.48,-3010
Dean Foods Company,217,2013,1290.06,158.6
Texas Instruments Incorporated,218,2013,128.25,1759
"Oneok, Inc.",219,2013,1266.02,360.6
Thermo Fisher Scientific Inc.,220,2013,126.57,1177.9
Ally Financial Inc.,221,2013,126.43,1196
Western Digital Corporation,222,2013,124.78,1612
Chesapeake Energy Corporation,223,2013,123.16,-769
PPL Corporation,224,2013,122.86,1526
Textron Inc.,225,2013,122.37,589
"Consolidated Edison, Inc.",226,2013,121.88,1138
"Nordstrom, Inc.",227,2013,121.48,735
"Marsh & McLennan Companies, Inc.",228,2013,119.24,1176
Ecolab Inc.,229,2013,1183.87,703.6
"Marriott International, Inc.",230,2013,118.14,571
CSX Corporation,231,2013,117.56,1859
"Whole Foods Market, Inc.",232,2013,1169.88,465.6
"EOG Resources, Inc.",233,2013,1168.26,570.3
H.J. Heinz Company,234,2013,1164.91,923.2
Lincoln National Corporation,235,2013,115.32,1313
"Health Net, Inc.",236,2013,1148.12,122.1
"C. H. Robinson Worldwide, Inc.",237,2013,1135.91,593.8
Guardian Life Ins. Co. of America,238,2013,1129.39,265.8
"SunTrust Banks, Inc.",239,2013,112.4,1958
"SAIC, Inc.",240,2013,112.29,525
Huntsman Corporation,241,2013,112.24,363
"Praxair, Inc.",241,2013,112.24,1692
"Peter Kiewit Sons', Inc.",243,2013,112.2,290
Las Vegas Sands Corp.,244,2013,1113.11,1524.1
"Stanley Black & Decker, Inc.",245,2013,1112.11,883.8
The Mosaic Company,246,2013,1110.78,1930.2
Norfolk Southern Corporation,247,2013,110.4,1749
URS Corporation,248,2013,1097.25,310.6
Jacobs Engineering Group Inc.,249,2013,1089.38,379
V.F. Corporation,250,2013,1087.99,1086
BB&T Corporation,251,2013,107.37,1979
"Avon Products, Inc.",252,2013,1071.71,-42.5
"Office Depot, Inc.",253,2013,1069.57,-77.1
First Data Corporation,254,2013,1068.03,-700.9
"Automatic Data Processing, Inc.",255,2013,1066.52,1388.5
"Liberty Global, Inc.",256,2013,1060.45,322.8
Unum Group,257,2013,1051.54,894.4
"L Brands, Inc.",258,2013,1045.87,753
"CarMax, Inc.",259,2013,1045.38,413.8
Visa Inc.,260,2013,104.21,2144
Entergy Corporation,261,2013,1030.21,846.7
Synnex Corporation,262,2013,1028.55,151.4
"Ameriprise Financial, Inc.",263,2013,102.59,1029
R.R. Donnelley & Sons Company,264,2013,1022.19,-651.4
"Kinder Morgan, Inc.",265,2013,102,315
Xcel Energy Inc.,266,2013,1012.82,905.2
CDW Corporation,267,2013,1012.82,119
State Street Corporation,268,2013,101.25,2061
Tenet Healthcare Corporation,269,2013,100.58,152
Liberty Interactive Corporation,270,2013,100.54,1530
"Genworth Financial , Inc.",271,2013,100.23,323
AGCO Corporation,272,2013,996.22,522.1
"Air Products & Chemicals, Inc.",273,2013,986.97,1167.3
Newmont Mining Corporation,274,2013,98.68,1809
"Reinsurance Group of America, Incorporated",275,2013,984.09,631.9
Public Service Enterprise Group Incorporated,276,2013,97.81,1275
KKR & Co. L.P.,277,2013,973.96,560.8
"Ross Stores, Inc.",278,2013,972.11,786.8
The Estee Lauder Companies Inc.,279,2013,971.36,856.9
"Gilead Sciences, Inc.",280,2013,970.25,2591.6
Sempra Energy,281,2013,96.47,859
The Sherwin-Williams Company,282,2013,953.45,631
"Western Refining, Inc.",283,2013,950.31,398.9
Devon Energy Corporation,284,2013,95.02,-206
Bed Bath & Beyond Inc.,285,2013,949.99,989.5
"BlackRock, Inc.",286,2013,93.37,2458
"Family Dollar Stores, Inc.",287,2013,93.31,422.2
Hillshire Brands Company,288,2013,93.23,845
Leucadia National Corporation,289,2013,929.39,854.5
"Principal Financial Group, Inc.",290,2013,921.51,805.9
Rock-Tenn Company,291,2013,920.76,249.1
MGM Resorts International,292,2013,916.08,-1767.7
"Hertz Global Holdings, Inc.",293,2013,902.08,243.1
Discover Financial Services,294,2013,89.84,2345
"W.W. Grainger, Inc.",295,2013,89.5,689.9
"Henry Schein, Inc.",296,2013,89.4,388.1
"Owens & Minor, Inc.",297,2013,890.81,109
GameStop Corp.,298,2013,888.67,-269.7
DTE Energy Company,299,2013,88.46,610
Caesars Entertainment Corporation,300,2013,879.87,-1497.5
Ball Corporation,301,2013,873.57,403.5
"Applied Materials, Inc.",302,2013,87.19,109
Centene Corporation,303,2013,870.36,1.9
"Motorola Solutions, Inc.",304,2013,86.98,881
Stryker Corporation,305,2013,86.57,1298
"AutoZone, Inc.",306,2013,860.39,930.4
"Sonic Automotive, Inc.",307,2013,854.84,89.1
Dover Corporation,308,2013,853.88,811.1
"Assurant, Inc.",309,2013,850.83,483.7
Cameron International Corporation,310,2013,850.21,750.5
DaVita HealthCare Partners Inc.,311,2013,848.95,536
"Crown Holdings, Inc.",312,2013,84.7,557
Reliance Steel & Aluminum Co.,313,2013,844.23,403.5
"NRG Energy, Inc.",314,2013,84.22,559
Peabody Energy Corporation,315,2013,830.66,-585.7
Reynolds American Inc.,316,2013,83.04,1272
"Autoliv, Inc.",317,2013,826.67,483.1
"Micron Technology, Inc.",318,2013,82.34,-1032
Hormel Foods Corporation,319,2013,823.07,500.1
AECOM Technology Corporation,320,2013,821.82,-58.6
Ashland Inc.,321,2013,82.06,26
Oshkosh Corporation,322,2013,819.33,230.8
"Republic Services, Inc.",323,2013,811.83,571.8
Eastman Chemical Company,324,2013,81.02,437
Thrivent Financial for Lutherans,325,2013,801.84,487.6
Corning Incorporated,326,2013,80.12,1728
Broadcom Corporation,327,2013,80.06,719
"Darden Restaurants, Inc.",328,2013,799.87,475.5
TravelCenters of America LLC,329,2013,799.57,32.2
"HD Supply, Inc.",330,2013,79.94,-639
"Spectrum Group International, Inc.",331,2013,797.48,4.1
"Becton, Dickinson and Company",332,2013,794.68,1169.9
Sealed Air Corporation,333,2013,792.16,-1410.3
"KBR, Inc.",334,2013,79.21,144
Commercial Metals Company,335,2013,78.59,207.5
Masco Corporation,336,2013,78.16,-114
"Universal Health Services, Inc.",337,2013,778.33,443.4
Campbell Soup Company,338,2013,77.07,774
"Coca-Cola Enterprises, Inc.",339,2013,75.62,677
"Charter Communications, Inc.",340,2013,75.04,-304
Quest Diagnostics Incorporated,341,2013,749.95,555.7
"The Williams Companies, Inc.",342,2013,74.86,859
"Group 1 Automotive, Inc.",343,2013,747.61,100.2
"CenterPoint Energy, Inc.",344,2013,74.52,417
"WellCare Health Plans, Inc.",345,2013,74.09,184.7
"Dollar Tree, Inc.",346,2013,739.45,619.3
"The Pantry, Inc.",347,2013,739.36,-2.5
MasterCard Incorporated,348,2013,73.91,2759
Tenneco Inc.,349,2013,73.63,275
"Avis Budget Group, Inc.",350,2013,73.57,290
Terex Corporation,351,2013,734.84,105.8
Cognizant Technology Solutions Corporation,352,2013,734.65,1051.3
"Fidelity National Financial, Inc.",353,2013,732.61,606.5
"Steel Dynamics, Inc.",354,2013,729.02,163.6
Precision Castparts Corp.,355,2013,727.83,1224.1
Dana Holding Corporation,356,2013,72.58,300
Boston Scientific Corporation,357,2013,72.49,-4068
BorgWarner Inc.,358,2013,718.32,500.9
Visteon Corporation,359,2013,71.54,100
"Barnes & Noble, Inc.",360,2013,712.92,-68.9
Fifth Third Bancorp,361,2013,71.06,1576
"Franklin Resources, Inc.",362,2013,71.01,1931.4
Weyerhaeuser Company,363,2013,70.59,385
"Owens-Illinois, Inc.",364,2013,70,184
"Alpha Natural Resources, Inc.",365,2013,697.49,-2437.1
"The Interpublic Group of Companies, Inc.",366,2013,695.62,446.7
OfficeMax Incorporated,367,2013,692.04,416.8
"Core-Mark Holding Company, Inc.",368,2013,690.54,33.9
Pacific Life,369,2013,68.74,460
Ralph Lauren Corporation,370,2013,685.95,681
"Agilent Technologies, Inc.",371,2013,68.58,1153
"Dole Food Company, Inc.",372,2013,683.23,-144.5
Ameren Corporation,373,2013,68.28,-974
Mylan Inc.,374,2013,679.61,640.9
Avery Dennison Corporation,375,2013,676.16,215.4
"Health Management Associates, Inc.",376,2013,676.09,164.3
"PetSmart, Inc.",377,2013,675.82,389.5
"Dillard's, Inc.",378,2013,675.16,336
Symantec Corporation,379,2013,67.3,1172
"Huntington Ingalls Industries, Inc.",380,2013,67.08,146
"Enbridge Energy Partners, L.P.",381,2013,670.61,493.1
Cablevision Systems Corporation,382,2013,670.55,233.5
Jarden Corporation,383,2013,669.61,243.9
The Hershey Company,384,2013,664.43,660.9
"WESCO International, Inc.",385,2013,657.93,201.8
Ingredion Incorporated,386,2013,653.21,427.5
"CBRE Group, Inc.",387,2013,651.98,315.6
UGI Corporation,388,2013,651.92,199.4
NuStar Energy L.P.,389,2013,651.68,-226.6
"The McGraw-Hill Companies, Inc.",390,2013,65.12,437
"Vanguard Health Systems, Inc.",391,2013,648.84,57.3
"Casey's General Stores, Inc.",392,2013,646.08,116.8
American Family Ins. Group,393,2013,645.68,360.5
Mutual of Omaha Insurance Company,394,2013,64.37,283.8
"Mattel, Inc.",395,2013,642.09,776.5
Celanese Corporation,396,2013,64.18,605
"Quanta Services, Inc.",397,2013,641.35,306.6
"Level 3 Communications, Inc.",398,2013,63.76,-422
"EMCOR Group, Inc.",399,2013,634.67,146.6
"Starwood Hotels & Resorts Worldwide, Inc.",400,2013,63.21,562
Regions Financial Corporation,401,2013,62.75,1120
Northeast Utilities,402,2013,627.38,525.9
"Rockwell Automation, Inc.",403,2013,625.94,737
"Ryder System, Inc.",404,2013,62.57,210
Anixter International Inc.,405,2013,625.31,124.8
CMS Energy Corporation,406,2013,62.53,382
"CC Media Holdings, Inc.",407,2013,624.69,-424.5
"NetApp, Inc.",408,2013,623.32,605.4
"Advance Auto Parts, Inc.",409,2013,62.05,387.7
"Kindred Healthcare, Inc.",410,2013,619.07,-40.4
Seaboard Corporation,411,2013,618.91,282.3
"O'Reilly Automotive, Inc.",412,2013,618.22,585.7
"Foot Locker, Inc.",413,2013,61.82,397
Windstream Corporation,414,2013,616.92,168
"CH2M HILL Companies, Ltd.",415,2013,616.06,93
"Omnicare, Inc.",416,2013,616.04,194.9
"FMC Technologies, Inc.",417,2013,615.14,430
SLM Corporation,418,2013,61.1,939
"CF Industries Holdings, Inc.",419,2013,61.04,1848.7
Sanmina,420,2013,609.33,180.2
"NII Holdings, Inc.",421,2013,608.65,-765.2
PVH Corp.,422,2013,60.43,433.8
"Molina Healthcare, Inc.",423,2013,602.88,9.8
Cliffs Natural Resources Inc.,424,2013,602.43,-899.4
General Cable Corporation,425,2013,601.43,4
The Shaw Group Inc.,426,2013,600.84,198.9
"Dr Pepper Snapple Group, Inc.",427,2013,59.95,629
"Expeditors International of Washington, Inc.",428,2013,598.09,333.4
Harris Corporation,429,2013,59.64,30.6
AK Steel Holding Corporation,430,2013,593.37,-1027.3
SPX Corporation,431,2013,592.52,259.2
"Actavis, Inc.",432,2013,591.49,97.3
Newell Rubbermaid Inc.,433,2013,590.27,401.3
"Fidelity National Information Services, Inc.",434,2013,588.81,461.2
Targa Resources Corp.,435,2013,588.57,38.1
Booz Allen Hamilton Holding Corp.,436,2013,585.92,240
"Dick's Sporting Goods, Inc.",437,2013,583.61,290.7
W.R. Berkley Corporation,438,2013,582.36,510.6
"Live Nation Entertainment, Inc.",439,2013,58.19,-163.2
"Allergan, Inc.",440,2013,580.61,1098.8
NCR Corporation,441,2013,57.92,146
"Mohawk Industries, Inc.",442,2013,57.88,250.3
Auto-Owners Insurance Group,443,2013,574.77,435.6
Laboratory Corporation of America Holdings,444,2013,567.14,583.1
The Western Union Company,445,2013,566.48,1025.9
Joy Global Inc.,446,2013,566.09,762
Energy Future Holdings Corp.,447,2013,56.36,-3360
MeadWestvaco Corporation,448,2013,55.94,205
"Harley-Davidson, Inc.",449,2013,558.05,623.9
Con-way Inc.,450,2013,558.02,104.5
MRC Global Inc.,451,2013,557.09,118
The J.M. Smucker Company,452,2013,552.58,459.7
Exelis Inc.,453,2013,55.22,330
Biogen Idec Inc.,454,2013,551.65,1380
Erie Insurance Group,455,2013,55.12,160
Celgene Corporation,456,2013,550.67,1456.2
"St. Jude Medical, Inc.",457,2013,55.03,752
Domtar Corporation,458,2013,54.82,172
Calpine Corporation,459,2013,54.78,199
Susser Holdings Corporation,460,2013,546.96,46.7
The Clorox Company,461,2013,54.68,541
"Kelly Services, Inc.",462,2013,545.05,50.1
CONSOL Energy Inc.,463,2013,543.03,388.5
"Advanced Micro Devices, Inc.",464,2013,54.22,-1183
"Graybar Electric Company, Inc.",465,2013,541.33,86.3
"Big Lots, Inc.",466,2013,540.01,177.1
"Gannett Co., Inc.",467,2013,535.32,424.3
"Telephone and Data Systems, Inc.",468,2013,534.53,81.9
"Host Hotels & Resorts, Inc.",469,2013,53.23,61
"Insight Enterprises, Inc.",470,2013,530.14,92.8
Western & Southern Mutual Holding Company,471,2013,529.37,137.7
"The Andersons, Inc.",472,2013,52.72,79.5
priceline.com Incorporated,473,2013,52.61,1419.6
"United Natural Foods, Inc.",474,2013,52.36,91.3
Spectra Energy Corp,475,2013,51.74,940
Owens Corning,476,2013,51.72,-19
Avaya Inc.,477,2013,51.71,-344
"Wynn Resorts, Limited",478,2013,515.43,502
"Bemis Company, Inc.",479,2013,513.92,173.8
NiSource Inc.,480,2013,510.27,416.1
"MetroPCS Communications, Inc.",481,2013,510.13,394.2
"Facebook, Inc.",482,2013,50.89,53
"Pepco Holdings, Inc.",483,2013,50.81,285
United Stationers Inc.,484,2013,508.01,111.8
"American Financial Group, Inc.",485,2013,50.62,488
"J.B. Hunt Transport Services, Inc.",486,2013,50.55,310.4
SanDisk Corporation,487,2013,505.25,417.4
The Charles Schwab Corporation,488,2013,50.49,928
Pitney Bowes Inc.,489,2013,503.92,445.2
Allegheny Technologies Incorporated,490,2013,503.15,158.4
"The Jones Financial Companies,L.L.L.P.",491,2013,502.74,555
Frontier Communications Corporation,492,2013,501.19,136.6
The Timken Company,493,2013,49.87,495.5
Yahoo! Inc.,494,2013,498.66,3945.5
JetBlue Airways Corporation,495,2013,49.82,128
Old Republic International Corporation,496,2013,497.01,-68.6
"Simon Property Group, Inc.",497,2013,488.01,1434.5
YRC Worldwide Inc.,498,2013,485.05,-140.4
"CA, Inc.",499,2013,48.29,951
Nash-Finch Company,500,2013,482.08,-93.9
